rank,planet_name,star_system,habitability_probability,habitability_score,predicted_habitable,actual_label,discovery_year
3516,Kepler-1714 b,Kepler-1714,0.000957181425532494,0.0957181425532494,0,0,2021
3517,WASP-57 b,WASP-57,0.0009569746822632083,0.09569746822632083,0,0,2012
3518,WASP-49 b,WASP-49,0.0009569288099130931,0.0956928809913093,0,0,2012
3519,TOI-1135 b,TOI-1135,0.0009568610230055752,0.09568610230055752,0,0,2024
3520,Kepler-41 b,Kepler-41,0.0009567540383903712,0.09567540383903711,0,0,2011
3521,WASP-4 b,WASP-4,0.0009565289866567481,0.09565289866567481,0,0,2007
3522,Kepler-433 b,Kepler-433,0.0009564779255738842,0.09564779255738842,0,0,2015
3523,HATS-2 b,HATS-2,0.0009557207711307954,0.09557207711307954,0,0,2013
3524,K2-87 b,K2-87,0.0009551357560763655,0.09551357560763656,0,0,2016
3525,WASP-83 b,WASP-83,0.0009549786264554565,0.09549786264554565,0,0,2015
3526,TOI-622 b,TOI-622,0.00095379386313676,0.095379386313676,0,0,2023
3527,Kepler-426 b,Kepler-426,0.0009527956652604644,0.09527956652604644,0,0,2014
3528,TOI-1273 b,TOI-1273,0.000952123349533912,0.09521233495339121,0,0,2024
3529,TOI-2587 A b,TOI-2587 A,0.0009520068768709836,0.09520068768709836,0,0,2023
3530,TOI-3693 b,TOI-3693,0.000951815812033343,0.0951815812033343,0,0,2022
3531,Kepler-487 b,Kepler-487,0.0009515303631454846,0.09515303631454847,0,0,2016
3532,WASP-124 b,WASP-124,0.0009515181876938149,0.09515181876938149,0,0,2016
3533,Kepler-1642 c,Kepler-1642,0.000951314693675704,0.0951314693675704,0,0,2016
3534,Kepler-546 b,Kepler-546,0.0009512751431630927,0.09512751431630927,0,0,2016
3535,HATS-1 b,HATS-1,0.0009512130691464096,0.09512130691464096,0,0,2012
3536,TOI-329 b,TOI-329,0.000950846421969756,0.0950846421969756,0,0,2024
3537,Kepler-913 c,Kepler-913,0.0009504647292046711,0.09504647292046711,0,0,2021
3538,TOI-172 b,TOI-172,0.000949905137971297,0.0949905137971297,0,0,2019
3539,TOI-257 b,TOI-257,0.0009498242606748912,0.09498242606748912,0,0,2021
3540,TOI-2328 b,TOI-2328,0.0009497970435464595,0.09497970435464595,0,0,2025
3541,TOI-4127 b,TOI-4127,0.0009495861902865932,0.09495861902865932,0,0,2023
3542,WASP-140 b,WASP-140,0.0009489705962696467,0.09489705962696467,0,0,2016
3543,TOI-1898 b,TOI-1898,0.0009487961020601158,0.09487961020601159,0,0,2024
3544,Kepler-424 b,Kepler-424,0.0009487072656940001,0.09487072656940002,0,0,2014
3545,WASP-104 b,WASP-104,0.0009479844807076994,0.09479844807076994,0,0,2014
3546,WASP-37 b,WASP-37,0.0009475947272638733,0.09475947272638734,0,0,2010
3547,Kepler-685 b,Kepler-685,0.0009475661160327188,0.09475661160327188,0,0,2016
3548,Kepler-15 b,Kepler-15,0.0009474142501705866,0.09474142501705865,0,0,2011
3549,TOI-5027 b,TOI-5027,0.0009472465044006997,0.09472465044006997,0,0,2025
3550,TOI-6038 A b,TOI-6038 A,0.0009472191967103431,0.09472191967103431,0,0,2025
3551,TOI-2986 b,TOI-2986,0.0009464520092040213,0.09464520092040213,0,0,2025
3552,TOI-4145 A b,TOI-4145 A,0.0009459996253858299,0.094599962538583,0,0,2023
3553,Kepler-77 b,Kepler-77,0.0009459911245252054,0.09459911245252055,0,0,2013
3554,TOI-4515 b,TOI-4515,0.0009457550343603075,0.09457550343603074,0,0,2024
3555,K2-108 b,K2-108,0.0009456395348887359,0.09456395348887359,0,0,2017
3556,K2-334 b,K2-334,0.0009450817577557662,0.09450817577557662,0,0,2021
3557,HAT-P-22 b,HAT-P-22,0.0009442063520964736,0.09442063520964736,0,0,2010
3558,Kepler-423 b,Kepler-423,0.0009437714464446722,0.09437714464446721,0,0,2014
3559,Kepler-319 c,Kepler-319,0.000943765945500338,0.0943765945500338,0,0,2014
3560,Kepler-1988 b,Kepler-1988,0.0009437368756281553,0.09437368756281553,0,0,2023
3561,KELT-10 b,KELT-10,0.0009436779965594463,0.09436779965594462,0,0,2016
3562,TOI-3071 b,TOI-3071,0.0009432133525696304,0.09432133525696304,0,0,2024
3563,HAT-P-58 b,HAT-P-58,0.0009432054755065134,0.09432054755065133,0,0,2021
3564,Kepler-642 b,Kepler-642,0.0009431434751227747,0.09431434751227746,0,0,2016
3565,HATS-59 b,HATS-59,0.0009428846429721898,0.09428846429721897,0,0,2018
3566,XO-2 N b,XO-2 N,0.0009428705307868917,0.09428705307868918,0,0,2007
3567,Kepler-518 b,Kepler-518,0.0009428022502013664,0.09428022502013664,0,0,2016
3568,WASP-182 b,WASP-182,0.0009426256400236234,0.09426256400236234,0,0,2019
3569,HAT-P-70 b,HAT-P-70,0.0009425754278178805,0.09425754278178805,0,0,2019
3570,WASP-56 b,WASP-56,0.0009425713353475425,0.09425713353475425,0,0,2012
3571,Kepler-686 b,Kepler-686,0.0009417740209123913,0.09417740209123913,0,0,2016
3572,TOI-3877 b,TOI-3877,0.0009406456367256529,0.0940645636725653,0,0,2025
3573,KOI-217 b,KOI-217,0.000940590137386562,0.0940590137386562,0,0,2010
3574,TOI-5143 c,TOI-5143,0.0009402805363035811,0.09402805363035811,0,0,2025
3575,HATS-55 b,HATS-55,0.0009401214914486029,0.0940121491448603,0,0,2019
3576,HATS-32 b,HATS-32,0.000940003923529855,0.0940003923529855,0,0,2016
3577,TOI-2589 b,TOI-2589,0.0009399712975029348,0.09399712975029348,0,0,2023
3578,TOI-6628 b,TOI-6628,0.0009398392945612826,0.09398392945612827,0,0,2025
3579,HAT-P-5 b,HAT-P-5,0.0009392833020602642,0.09392833020602642,0,0,2007
3580,HATS-33 b,HATS-33,0.0009391909984477305,0.09391909984477305,0,0,2016
3581,NGTS-26 b,NGTS-26,0.0009376914879169491,0.0937691487916949,0,0,2024
3582,TOI-1836 b,TOI-1836,0.0009371891550393564,0.09371891550393564,0,0,2024
3583,WASP-126 b,WASP-126,0.0009365281725550746,0.09365281725550746,0,0,2016
3584,WASP-58 b,WASP-58,0.0009359267913277801,0.09359267913277801,0,0,2012
3585,K2-140 b,K2-140,0.0009352390556032275,0.09352390556032275,0,0,2017
